time,ADS,section,level
2024-04-18 17:22:13.466781,TCP,Curve,0
2024-04-18 17:45:52.875849,TCP,Curve,1
2024-04-18 18:00:56.796834,TCP,Curve,2
2024-04-18 18:37:27.615577,TCP,Curve,3
2024-04-18 19:12:34.711117,TCP,Curve,4
2024-04-18 19:45:21.114532,TCP,Curve,baseline
2024-04-18 20:10:02.388937,TCP,Straight,0
2024-04-18 20:37:56.330592,TCP,Straight,1
2024-04-18 21:28:19.083478,TCP,Straight,2
2024-04-18 22:37:59.617715,TCP,Straight,3
2024-04-18 23:59:48.848341,TCP,Straight,4
2024-04-19 01:23:17.259286,TCP,Straight,baseline
2024-04-19 01:58:42.822999,InterFuser,Curve,0
2024-04-19 02:28:12.263067,InterFuser,Curve,1
2024-04-19 02:55:29.742041,InterFuser,Curve,2
2024-04-19 03:31:55.820857,InterFuser,Curve,3
2024-04-19 04:16:29.161163,InterFuser,Curve,4
2024-04-19 06:17:43.465738,InterFuser,Curve,baseline
2024-04-19 06:50:43.068403,InterFuser,Straight,0
2024-04-19 07:46:45.130465,InterFuser,Straight,1
2024-04-19 08:58:04.839253,InterFuser,Straight,2
2024-04-19 10:18:46.722488,InterFuser,Straight,3
2024-04-19 12:13:23.677823,InterFuser,Straight,4
2024-04-19 14:22:20.955070,InterFuser,Straight,baseline
