time,ADS,section,level
2024-04-16 19:23:41.420764,TCP,Curve,0
2024-04-16 19:44:48.321144,TCP,Curve,1
2024-04-16 20:05:37.395551,TCP,Curve,2
2024-04-16 20:42:54.195938,TCP,Curve,3
2024-04-16 21:17:25.960392,TCP,Curve,4
2024-04-16 21:52:00.526837,TCP,Curve,baseline
2024-04-16 22:18:28.097824,TCP,Straight,0
2024-04-16 22:44:38.160620,TCP,Straight,1
2024-04-16 23:37:02.264000,TCP,Straight,2
2024-04-17 00:52:27.478344,TCP,Straight,3
2024-04-17 02:02:46.597543,TCP,Straight,4
2024-04-17 03:33:53.149941,TCP,Straight,baseline
2024-04-17 04:10:48.210829,InterFuser,Curve,0
2024-04-17 04:40:50.866271,InterFuser,Curve,1
2024-04-17 05:05:01.953725,InterFuser,Curve,2
2024-04-17 05:42:19.846633,InterFuser,Curve,3
2024-04-17 06:27:58.921923,InterFuser,Curve,4
2024-04-17 08:30:00.785959,InterFuser,Curve,baseline
2024-04-17 09:03:42.707496,InterFuser,Straight,0
2024-04-17 09:57:30.921818,InterFuser,Straight,1
2024-04-17 11:04:23.365346,InterFuser,Straight,2
2024-04-17 12:38:46.566875,InterFuser,Straight,3
2024-04-17 14:34:36.063638,InterFuser,Straight,4
2024-04-17 16:43:56.471793,InterFuser,Straight,baseline
