time,ADS,section,level
2024-03-25 17:11:54.847453,TCP,Curve,0
2024-03-25 17:37:13.735726,TCP,Curve,1
2024-03-25 18:08:38.575945,TCP,Curve,2
2024-03-25 18:38:18.491705,TCP,Curve,3
2024-03-25 19:14:00.415024,TCP,Curve,4
2024-03-25 19:58:52.995949,TCP,Curve,baseline
2024-03-25 20:22:44.464169,TCP,Straight,0
2024-03-25 20:51:23.087738,TCP,Straight,1
2024-03-25 22:06:07.319491,TCP,Straight,2
2024-03-25 23:21:35.440877,TCP,Straight,3
2024-03-26 00:36:29.076804,TCP,Straight,4
2024-03-26 02:07:35.058179,TCP,Straight,baseline
2024-03-26 02:43:12.629261,InterFuser,Curve,0
2024-03-26 03:13:42.321404,InterFuser,Curve,1
2024-03-26 03:51:48.341317,InterFuser,Curve,2
2024-03-26 04:34:09.913657,InterFuser,Curve,3
2024-03-26 05:41:29.945176,InterFuser,Curve,4
2024-03-26 07:51:32.981381,InterFuser,Curve,baseline
2024-03-26 08:25:58.256575,InterFuser,Straight,0
2024-03-26 09:18:53.894441,InterFuser,Straight,1
2024-03-26 10:56:46.661716,InterFuser,Straight,2
2024-03-26 12:22:49.205852,InterFuser,Straight,3
2024-03-26 14:19:34.038175,InterFuser,Straight,4
2024-03-26 16:35:24.498879,InterFuser,Straight,baseline
