time,ADS,section,level
2024-04-17 18:17:43.376953,TCP,Curve,0
2024-04-17 18:39:11.798080,TCP,Curve,1
2024-04-17 18:49:30.162527,TCP,Curve,2
2024-04-17 19:25:10.157561,TCP,Curve,3
2024-04-17 19:57:01.142909,TCP,Curve,4
2024-04-17 20:29:47.051409,TCP,Curve,baseline
2024-04-17 20:56:27.281762,TCP,Straight,0
2024-04-17 21:24:03.939050,TCP,Straight,1
2024-04-17 21:26:17.779606,TCP,Straight,2
2024-04-17 22:40:03.742806,TCP,Straight,3
2024-04-17 23:52:19.552081,TCP,Straight,4
2024-04-18 01:26:41.035492,TCP,Straight,baseline
2024-04-18 02:04:08.347612,InterFuser,Curve,0
2024-04-18 02:34:03.814774,InterFuser,Curve,1
2024-04-18 02:58:22.020810,InterFuser,Curve,2
2024-04-18 03:32:53.414722,InterFuser,Curve,3
2024-04-18 04:18:03.037847,InterFuser,Curve,4
2024-04-18 06:19:27.123294,InterFuser,Curve,baseline
2024-04-18 06:52:29.178226,InterFuser,Straight,0
2024-04-18 07:48:49.814024,InterFuser,Straight,1
2024-04-18 09:06:20.682839,InterFuser,Straight,2
2024-04-18 10:33:18.727509,InterFuser,Straight,3
2024-04-18 12:22:24.154584,InterFuser,Straight,4
2024-04-18 14:35:50.502771,InterFuser,Straight,baseline
