time,ADS,section,level
2024-03-26 22:20:37.921235,TCP,Curve,0
2024-03-26 22:45:29.183696,TCP,Curve,1
2024-03-26 23:04:31.519126,TCP,Curve,2
2024-03-26 23:38:06.051316,TCP,Curve,3
2024-03-27 00:17:11.408156,TCP,Curve,4
2024-03-27 01:01:26.142808,TCP,Curve,baseline
2024-03-27 01:23:56.571293,TCP,Straight,0
2024-03-27 01:52:56.539410,TCP,Straight,1
2024-03-27 02:58:26.184605,TCP,Straight,2
2024-03-27 04:15:07.680460,TCP,Straight,3
2024-03-27 05:32:38.755436,TCP,Straight,4
2024-03-27 07:06:40.933673,TCP,Straight,baseline
2024-03-27 07:45:36.743178,InterFuser,Curve,0
2024-03-27 08:15:11.233303,InterFuser,Curve,1
2024-03-27 08:51:58.864690,InterFuser,Curve,2
2024-03-27 09:32:13.828780,InterFuser,Curve,3
2024-03-27 10:36:23.324008,InterFuser,Curve,4
2024-03-27 12:44:55.513684,InterFuser,Curve,baseline
2024-03-27 13:17:43.079592,InterFuser,Straight,0
2024-03-27 14:13:29.536479,InterFuser,Straight,1
2024-03-27 16:02:02.350703,InterFuser,Straight,2
2024-03-27 17:28:15.265290,InterFuser,Straight,3
2024-03-27 19:28:41.620406,InterFuser,Straight,4
2024-03-27 21:44:22.583145,InterFuser,Straight,baseline
